출발 국가,항공사,출발 공항,도착 공항,도착 국가,도착국가이름,년도,월,운항회수,출발 국가,도착 국가,정원(전체)
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2016,12,13,13,13,2032
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2017,1,12,12,12,1728
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2017,2,12,12,12,1728
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2017,3,14,14,14,2093
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2017,4,13,13,13,1911
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2017,5,13,13,13,1858
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2017,6,13,13,13,1916
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2017,7,13,13,13,2173
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2017,8,13,13,13,2186
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2017,9,13,13,13,2142
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2017,10,13,13,13,2104
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2017,11,13,13,13,1985
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2017,12,14,14,14,2256
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2018,1,13,13,13,2151
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2018,2,12,12,12,1978
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2018,3,13,13,13,2040
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2018,4,13,13,13,2182
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2018,5,13,13,13,2204
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2016,6,30,30,30,4692
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2016,7,44,44,44,6466
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2016,8,44,44,44,6635
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2016,9,43,43,43,6488
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2016,10,42,42,42,6396
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2016,11,30,30,30,4734
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2016,12,30,30,30,4740
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2017,1,29,29,29,4594
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2017,2,27,27,27,4291
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2017,3,30,30,30,4752
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2017,4,30,30,30,4650
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2017,5,31,31,31,4862
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2017,6,42,42,42,6644
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2017,7,44,44,44,6808
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2017,8,45,45,45,7111
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2017,9,43,43,43,6704
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2017,10,31,31,31,4862
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2017,11,30,30,30,4650
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2017,12,31,31,31,4898
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2018,1,32,32,32,5002
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2018,2,26,26,26,4072
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2018,3,31,31,31,4880
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2018,4,30,30,30,4740
KAZ,Aeroflot,KGF,SVO,RUS,러시아,2018,5,31,31,31,4898
KAZ,Aeroflot,KSN,SVO,RUS,러시아,2017,6,12,12,12,1044
KAZ,Aeroflot,KSN,SVO,RUS,러시아,2017,7,12,12,12,1097
KAZ,Aeroflot,KSN,SVO,RUS,러시아,2017,8,14,14,14,1289
KAZ,Aeroflot,KSN,SVO,RUS,러시아,2017,9,12,12,12,1115
KAZ,Aeroflot,KSN,SVO,RUS,러시아,2017,10,14,14,14,1289
KAZ,Aeroflot,KSN,SVO,RUS,러시아,2017,11,13,13,13,1131
KAZ,Aeroflot,KSN,SVO,RUS,러시아,2017,12,13,13,13,1131
KAZ,Aeroflot,KSN,SVO,RUS,러시아,2018,1,13,13,13,1184
KAZ,Aeroflot,KSN,SVO,RUS,러시아,2018,2,12,12,12,1221
KAZ,Aeroflot,KSN,SVO,RUS,러시아,2018,3,13,13,13,1184
KAZ,Aeroflot,KSN,SVO,RUS,러시아,2018,4,13,13,13,1202
KAZ,Aeroflot,KSN,SVO,RUS,러시아,2018,5,14,14,14,1324
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2016,6,13,13,13,1184
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2016,7,14,14,14,1324
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2016,8,13,13,13,1184
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2016,9,12,12,12,1044
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2016,10,13,13,13,1131
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2016,11,13,13,13,1450
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2016,12,13,13,13,1237
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2017,1,12,12,12,1274
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2017,2,13,13,13,1131
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2017,3,14,14,14,1218
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2017,4,13,13,13,1255
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2017,5,13,13,13,1184
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2017,6,13,13,13,1757
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2017,7,13,13,13,1785
KAZ,Aeroflot,SCO,SVO,RUS,러시아,2017,8,13,13,13,1427
