,출발 국가,도착 국가,출발국가이름,도착국가이름
380,KGZ,TJK,키르기스스탄,타지키스탄
381,KGZ,TJK,키르기스스탄,타지키스탄
382,KGZ,TJK,키르기스스탄,타지키스탄
383,KGZ,TJK,키르기스스탄,타지키스탄
384,KGZ,TJK,키르기스스탄,타지키스탄
385,KGZ,TJK,키르기스스탄,타지키스탄
386,KGZ,TJK,키르기스스탄,타지키스탄
387,KGZ,TJK,키르기스스탄,타지키스탄
388,KGZ,TJK,키르기스스탄,타지키스탄
389,KGZ,TJK,키르기스스탄,타지키스탄
390,KGZ,TJK,키르기스스탄,타지키스탄
391,KGZ,TJK,키르기스스탄,타지키스탄
392,KGZ,TJK,키르기스스탄,타지키스탄
393,KGZ,TJK,키르기스스탄,타지키스탄
394,KGZ,TJK,키르기스스탄,타지키스탄
395,KGZ,TJK,키르기스스탄,타지키스탄
396,KGZ,TJK,키르기스스탄,타지키스탄
397,KGZ,TJK,키르기스스탄,타지키스탄
398,KGZ,TJK,키르기스스탄,타지키스탄
399,KGZ,TJK,키르기스스탄,타지키스탄
400,KGZ,TJK,키르기스스탄,타지키스탄
401,KGZ,TJK,키르기스스탄,타지키스탄
402,TJK,RUS,타지키스탄,러시아
403,TJK,RUS,타지키스탄,러시아
404,TJK,RUS,타지키스탄,러시아
405,TJK,RUS,타지키스탄,러시아
406,TJK,RUS,타지키스탄,러시아
407,TJK,RUS,타지키스탄,러시아
408,TJK,RUS,타지키스탄,러시아
409,TJK,RUS,타지키스탄,러시아
410,TJK,RUS,타지키스탄,러시아
411,TJK,RUS,타지키스탄,러시아
412,TJK,RUS,타지키스탄,러시아
413,TJK,RUS,타지키스탄,러시아
414,TJK,RUS,타지키스탄,러시아
415,TJK,RUS,타지키스탄,러시아
416,TJK,RUS,타지키스탄,러시아
417,TJK,RUS,타지키스탄,러시아
418,TJK,RUS,타지키스탄,러시아
419,TJK,RUS,타지키스탄,러시아
420,TJK,RUS,타지키스탄,러시아
421,TJK,RUS,타지키스탄,러시아
422,TJK,RUS,타지키스탄,러시아
423,TJK,RUS,타지키스탄,러시아
424,TJK,RUS,타지키스탄,러시아
425,TJK,RUS,타지키스탄,러시아
426,TJK,RUS,타지키스탄,러시아
427,TJK,RUS,타지키스탄,러시아
428,TJK,RUS,타지키스탄,러시아
429,TJK,RUS,타지키스탄,러시아
430,TJK,RUS,타지키스탄,러시아
431,TJK,RUS,타지키스탄,러시아
432,TJK,RUS,타지키스탄,러시아
433,TJK,RUS,타지키스탄,러시아
434,TJK,RUS,타지키스탄,러시아
435,TJK,RUS,타지키스탄,러시아
436,TJK,RUS,타지키스탄,러시아
437,TJK,RUS,타지키스탄,러시아
438,TJK,RUS,타지키스탄,러시아
439,TJK,RUS,타지키스탄,러시아
440,TJK,RUS,타지키스탄,러시아
441,TJK,RUS,타지키스탄,러시아
442,TJK,RUS,타지키스탄,러시아
443,TJK,RUS,타지키스탄,러시아
444,TJK,RUS,타지키스탄,러시아
445,TJK,RUS,타지키스탄,러시아
446,TJK,RUS,타지키스탄,러시아
447,TJK,RUS,타지키스탄,러시아
448,TJK,RUS,타지키스탄,러시아
449,TJK,RUS,타지키스탄,러시아
450,TJK,RUS,타지키스탄,러시아
451,TJK,RUS,타지키스탄,러시아
452,TJK,RUS,타지키스탄,러시아
453,TJK,RUS,타지키스탄,러시아
454,TJK,RUS,타지키스탄,러시아
455,TJK,RUS,타지키스탄,러시아
456,TJK,RUS,타지키스탄,러시아
457,TJK,RUS,타지키스탄,러시아
458,TJK,RUS,타지키스탄,러시아
459,TJK,RUS,타지키스탄,러시아
460,TJK,RUS,타지키스탄,러시아
461,TJK,RUS,타지키스탄,러시아
462,TJK,RUS,타지키스탄,러시아
463,TJK,RUS,타지키스탄,러시아
464,TJK,RUS,타지키스탄,러시아
465,TJK,RUS,타지키스탄,러시아
466,TJK,RUS,타지키스탄,러시아
467,TJK,RUS,타지키스탄,러시아
468,TJK,RUS,타지키스탄,러시아
469,TJK,RUS,타지키스탄,러시아
470,TJK,RUS,타지키스탄,러시아
471,TJK,RUS,타지키스탄,러시아
472,TJK,RUS,타지키스탄,러시아
473,TJK,RUS,타지키스탄,러시아
474,TJK,RUS,타지키스탄,러시아
475,TJK,RUS,타지키스탄,러시아
476,TJK,RUS,타지키스탄,러시아
477,TJK,RUS,타지키스탄,러시아
478,TJK,RUS,타지키스탄,러시아
479,TJK,RUS,타지키스탄,러시아
480,TJK,RUS,타지키스탄,러시아
481,TJK,RUS,타지키스탄,러시아
482,TJK,RUS,타지키스탄,러시아
483,TJK,RUS,타지키스탄,러시아
484,TJK,RUS,타지키스탄,러시아
485,TJK,RUS,타지키스탄,러시아
486,TJK,RUS,타지키스탄,러시아
487,TJK,RUS,타지키스탄,러시아
488,TJK,RUS,타지키스탄,러시아
489,TJK,RUS,타지키스탄,러시아
490,TJK,RUS,타지키스탄,러시아
491,TJK,RUS,타지키스탄,러시아
492,TJK,RUS,타지키스탄,러시아
493,TJK,RUS,타지키스탄,러시아
494,TJK,RUS,타지키스탄,러시아
495,TJK,RUS,타지키스탄,러시아
496,TJK,RUS,타지키스탄,러시아
497,TJK,RUS,타지키스탄,러시아
498,TJK,RUS,타지키스탄,러시아
499,TJK,RUS,타지키스탄,러시아
500,TJK,RUS,타지키스탄,러시아
501,TJK,RUS,타지키스탄,러시아
502,TJK,RUS,타지키스탄,러시아
503,TJK,RUS,타지키스탄,러시아
504,TJK,RUS,타지키스탄,러시아
505,TJK,RUS,타지키스탄,러시아
506,TJK,RUS,타지키스탄,러시아
507,TJK,RUS,타지키스탄,러시아
508,TJK,RUS,타지키스탄,러시아
509,TJK,RUS,타지키스탄,러시아
510,TJK,RUS,타지키스탄,러시아
511,TJK,RUS,타지키스탄,러시아
512,TJK,RUS,타지키스탄,러시아
513,TJK,RUS,타지키스탄,러시아
514,TJK,RUS,타지키스탄,러시아
515,TJK,RUS,타지키스탄,러시아
516,TJK,RUS,타지키스탄,러시아
