Ç×°ø»ç,Ãâ¹ß °øÇ×,Ãâ¹ß ±¹°¡,Ãâ¹ß±¹°¡ÀÌ¸§,µµÂø °øÇ×,µµÂø ±¹°¡,³âµµ,¿ù,¿îÇ×È¸¼ö,Ãâ¹ß ±¹°¡,µµÂø ±¹°¡,Á¤¿ø(ÀüÃ¼)
Aeroflot,KSN,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,7,12,12,12,1097
Aeroflot,KSN,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,8,14,14,14,1289
Aeroflot,KSN,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,9,12,12,12,1115
Aeroflot,KSN,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,10,14,14,14,1289
Aeroflot,KSN,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,11,13,13,13,1131
Aeroflot,KSN,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,12,13,13,13,1131
Aeroflot,KSN,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,1,13,13,13,1184
Aeroflot,KSN,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,2,12,12,12,1221
Aeroflot,KSN,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,3,13,13,13,1184
Aeroflot,KSN,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,4,13,13,13,1202
Aeroflot,KSN,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,5,14,14,14,1324
Aeroflot,NVI,UZB,¿ìÁîº£Å°½ºÅº,SVO,RUS,2017,7,8,8,8,1228
Aeroflot,NVI,UZB,¿ìÁîº£Å°½ºÅº,SVO,RUS,2017,8,1,1,1,158
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,6,13,13,13,1184
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,7,14,14,14,1324
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,8,13,13,13,1184
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,9,12,12,12,1044
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,10,13,13,13,1131
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,11,13,13,13,1450
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,12,13,13,13,1237
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,1,12,12,12,1274
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,2,13,13,13,1131
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,3,14,14,14,1218
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,4,13,13,13,1255
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,5,13,13,13,1184
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,6,13,13,13,1757
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,7,13,13,13,1785
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,8,13,13,13,1427
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,9,13,13,13,1326
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,10,14,14,14,1360
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,11,13,13,13,1290
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,12,14,14,14,1289
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,1,13,13,13,1475
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,2,12,12,12,1281
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,3,13,13,13,1344
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,4,13,13,13,1681
Aeroflot,SCO,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,5,13,13,13,2022
Aeroflot,SKD,UZB,¿ìÁîº£Å°½ºÅº,LED,RUS,2016,6,13,13,13,1704
Aeroflot,SKD,UZB,¿ìÁîº£Å°½ºÅº,LED,RUS,2016,7,13,13,13,1664
Aeroflot,SKD,UZB,¿ìÁîº£Å°½ºÅº,LED,RUS,2016,8,14,14,14,1792
Aeroflot,SKD,UZB,¿ìÁîº£Å°½ºÅº,LED,RUS,2016,9,13,13,13,1716
Aeroflot,SKD,UZB,¿ìÁîº£Å°½ºÅº,LED,RUS,2016,10,13,13,13,1664
Aeroflot,SKD,UZB,¿ìÁîº£Å°½ºÅº,LED,RUS,2016,11,8,8,8,1024
Aeroflot,SKD,UZB,¿ìÁîº£Å°½ºÅº,LED,RUS,2016,12,9,9,9,1152
Aeroflot,SKD,UZB,¿ìÁîº£Å°½ºÅº,LED,RUS,2017,1,8,8,8,1024
Aeroflot,SKD,UZB,¿ìÁîº£Å°½ºÅº,LED,RUS,2017,2,4,4,4,512
Aeroflot,SKD,UZB,¿ìÁîº£Å°½ºÅº,LED,RUS,2017,3,4,4,4,512
Aeroflot,SKD,UZB,¿ìÁîº£Å°½ºÅº,LED,RUS,2017,4,12,12,12,1536
Aeroflot,SKD,UZB,¿ìÁîº£Å°½ºÅº,LED,RUS,2017,5,14,14,14,1792
